,,Additional Memory,Additional Memory,End Memory,End Memory,Start Memory,Start Memory
Algorithm,,CBIS,Randomized Quicksort,CBIS,Randomized Quicksort,CBIS,Randomized Quicksort
Dataset Type,Dataset Size,,,,,,
Randomized,200,0.0,0.0,1656.0,1656.0,1656.0,1656.0
Randomized,2000,0.0,0.0,16184.0,16056.0,16184.0,16056.0
Randomized,20000,0.0,0.0,173016.0,160056.0,173016.0,160056.0
Reversed,200,0.0,0.0,1656.0,1656.0,1656.0,1656.0
Reversed,2000,0.0,0.0,16184.0,16056.0,16184.0,16056.0
Reversed,20000,0.0,0.0,173016.0,160056.0,173016.0,160056.0
Sorted,200,0.0,0.0,1656.0,1656.0,1656.0,1656.0
Sorted,2000,0.0,0.0,16184.0,16056.0,16184.0,16056.0
Sorted,20000,0.0,0.0,173016.0,160056.0,173016.0,160056.0
